DEFINE_ADMIRAL_EFFECT;Gain the service of §YAdmiral $NAME$§W ($PER$ $BAC$).\n;Obtenir les services de l'§Yamiral $NAME$§W ($PER$ $BAC$).\n;§YAdmiral $NAME$§W ($PER$ $BAC$) rekrutieren.\n;;Obtener los servicios del §Yalmirante $NAME$§W ($PER$ $BAC$).\n;;;;;;;;;x
DEFINE_GENERAL_EFFECT;Gain the service of §YGeneral $NAME$§W ($PER$ $BAC$).\n;Obtenir les services du §Ygénéral $NAME$§W ($PER$ $BAC$).\n;§YGeneral $NAME$§W ($PER$ $BAC$) rekrutieren.\n;;Obtener los servicios del §Ygeneral $NAME$§W ($PER$ $BAC$).\n;;;;;;;;;x
DO_NOT_HAVE_TECH_TRI;Have NOT invented §Y$TECH$§W.\n;N'ont pas invent?§Y$TECH$§W\n;Noch NICHT erfunden: §Y$TECH$§W.\n;;NO ha inventado §Y$TECH$§W.\n;;;;;;;;;x
HAVE_TECH_TRI;Have invented §Y$TECH$§W.\n;Ont invent?§Y$TECH$§W\n;Erfunden: §Y$TECH$§W.\n;;Ha inventado §Y$TECH$§W.\n;;;;;;;;;x
NO_RAIL_YET;We can not encourage rail road building when we do not know how to build them yet.;Nous ne pouvons pas encourager la construction de chemins de fer si nous ne savons pas comment nous y prendre.;Wir können keinen Eisenbahnstreckenbau fördern, da wir noch nicht wissen, wie man sie baut.;;No podemos fomentar la construcción del ferrocarril cuando todavía no sabemos cómo construirlo.;;;;;;;;;x
NOT_DISC_THESE_YET;We can not encourage industries that have not yet been invented.;Nous ne pouvons pas encourager les industries qui n'ont pas encore ét?inventées.;Wir können keine Industrien fördern, die noch nicht erfunden wurden.;;No podemos fomentar industrias que todavía no se han inventado.;;;;;;;;;x
WAR_WE_ACCEPT_HEADER;The Foreign Minister reports;Le ministre des Affaires étrangères indique :;Der Außenminister berichtet:;;El ministro de Asuntos Exteriores informa;;;;;;;;;x,,,,,,;
WAR_WE_ACCEPT_1;WAR!;DÉCLARATION DE GUERRE !;KRIEG!;WOJNA!;¡GUERRA!;GUERRA!;HÁBOR?;VÁLKA!;;;;;;x,,,,,,;
WAR_WE_ACCEPT_2;$MONARCHTITLE$, $BADWORD$ in;$MONARCHTITLE$, $BADWORD$ de;$MONARCHTITLE$;$BADWORD$ z;$MONARCHTITLE$, $BADWORD$ en;$MONARCHTITLE$, $BADWORD$ di;Vezérünk, ;$MONARCHTITLE$, $BADWORD$ v;;;;;;x
WAR_WE_ACCEPT_3;$AGRESSOR$ declared war;$AGRESSOR$ nous ont déclar?la;$AGRESSOR$ hat uns den Krieg erklärt!;$AGRESSOR$ wypowiadaj?nam wojn?;$AGRESSOR$ ha declarado la guerra;$AGRESSOR$ ci hanno dichiarato;$AGRESSOR$ nemzete hadat üzent nekünk!;$AGRESSOR$ vyhlásil válku;;;;;;x,,,,,,;
WAR_WE_ACCEPT_4;upon us! Prepare for battle...;Guerre !\nPréparons-nous au combat...;Bereiten Sie sich auf den Kampf vor ...;Gotujmy si?do bitwy...;contra nosotros! Preparad la batalla...;guerra! Preparati a combattere...;Fel kell készülnünk a háborúra?nám! Pøipravte se na boj...;;;;;;x,,,,,,;
WAR_WE_ACCEPT_5;*;*;*;*;*;*;*;;;;;;;x,,,,,,;
WAR_WE_ACCEPT_6;*;*;*;*;*;*;*;;;;;;;x,,,,,,;
WAR_WE_ACCEPT_LOG;$AGRESSOR$ declared war on us!;$AGRESSOR$ nous a déclar?la guerre !;$AGRESSOR$ hat uns den Krieg erklärt!;$AGRESSOR$ wypowiada nam wojn?;?AGRESSOR$ nos ha declarado la guerra!;$AGRESSOR$ ci ha dichiarato guerra!;$AGRESSOR$ hadat üzent nekünk!;$AGRESSOR$ nám vyhlásil válku!;;;;;;x,,,,,,;
WAR_WE_ACCEPT_BTN1;OK;D'accord;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x,,,,,,;
WAR_WE_ACCEPT_BTN2;OK;D'accord;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x,,,,,,;
WAR_WE_ACCEPT_BTN3;Go to;Voir;Gehe zu;Id?do;Ir all?Andare;Menj ide:;Pøejít na;;;;;;x,,,,,,;
