westernize_nation_desc_NEWS_LONG;$COUNTRY$ is under intellectual assault by modernity of Western World. The old traditions no longer serve as they used to. Western influences spread like wildfire. If the locals are to remain what they always have been, and not become something else entirely, now is the time to assume control of their own destiny. It has become apparent to the leading members of the intellectual elite, that the only way to turn the tide on the Western Leviathan is to swim with it, for, as Sun Tzu says: The reed that bends before the wind, also offers a form of resistance.;;$COUNTRY$ befindet sich unter dem intellektuellen Ansturm der modernen, westlichen Welt. Alte Traditionen verlieren ihren Einfluss und westliche Eindrücke verbreiten sich rasend. Wenn die Einwohner ihre Kultur erhalten wollen, so müssen sie die Kontrolle über ihr Schicksal zurückerlangen. Führende Mitglieder der intellektuellen Elite erkennen, dass ihre beste Chance darin besteht, mit dem westlichen Leviathan mitzuschwimmen. Wie Sun Tzu schon sagte: Das Schilf biegt sich im Winde, aber es bricht nicht.;;;;;;;;;;;x;
westernize_nation_desc_NEWS_MEDIUM;$COUNTRY$ is under intellectual assault by the modernity of Western World. The old traditions no longer serve as they used to. Western influences spread like wildfire. The only way to turn the tide on the Western Leviathan is to swim with it.;;$COUNTRY$ befindet sich unter dem intellektuellen Ansturm der modernen, westlichen Welt. Alte Traditionen verlieren ihren Einfluss und westliche Eindrücke verbreiten sich rasend. Die beste Chance besteht darin, mit dem westlichen Leviathan mitzuschwimmen. ;;;;;;;;;;;x;
westernize_nation_desc_NEWS_SHORT;$COUNTRY$ is under intellectual assault by the modernity of Western World. The only way to turn the tide on the Western Leviathan is to swim with it.;;$COUNTRY$ befindet sich unter dem intellektuellen Ansturm der modernen, westlichen Welt. Die beste Chance besteht darin, mit dem westlichen Leviathan mitzuschwimmen. ;;;;;;;;;;;x;
EVTDESC14600_NEWS_LONG;It is unclear if there was, perhaps, something in the air that year. Some maintained it was nothing but a series of unfortunate coincidences - a convergence of catastrophes, if you will - but, whatever had caused it, $YEAR$ saw a wave of unrest spreading through the $COUNTRY_ADJ$ colonies like wildfire through a dry brushland. A wave of unrest shakes $COUNTRY_ADJ$ colonies, and they must decide on how to handle it. Concessions to the natives will come at the price of a serious loss of international face, but can they handle not giving them?;;Vielleicht lag in diesem Jahr etwas in der Luft. Manche sagen, es war nur eine Anreihung von unglücklichen Zufällen, eine Katastrophenwelle sozusagen, doch woran auch immer es lag, $YEAR$ erlebte eine Welle der Unruhe in den $COUNTRY_ADJ$ Kolonien, die wie ein Lauffeuer durch trocknes Buschland fegte. Die $COUNTRY_ADJ$ Kolonie müssen entscheiden, wie sie damit umgehen. Zugeständnisse an die Eingeborenen würden sie das Gesicht vor der Welt verlieren lassen, doch können sie es sich leisten, nichts zu tun?;;;;;;;;;;;x;
EVTDESC14600_NEWS_MEDIUM;It is unclear if there was, perhaps, something in the air that year. Whatever had caused it, $YEAR$ saw a wave of unrest spreading through the $COUNTRY_ADJ$ colonies like wildfire through a dry brushland.;;Vielleicht lag in diesem Jahr etwas in der Luft. Woran auch immer es lag, $YEAR$ erlebte eine Welle der Unruhe in den $COUNTRY_ADJ$ Kolonien, die wie ein Lauffeuer durch trocknes Buschland fegte.;;;;;;;;;;;x;
EVTDESC14600_NEWS_SHORT;A wave of unrest shakes $COUNTRY_ADJ$ colonies, and they must decide on how to handle it. Any concessions to the natives will come at the price of a serious loss of international face.;;Unruhen erschüttern die $COUNTRY_ADJ$ Kolonien und sie müssen entscheiden, was zu tun ist. Zugeständnisse an die Eingeborenen würden sie das Gesicht vor der Welt verlieren lassen.;;;;;;;;;;;x;
EVTDESC14670_NEWS_LONG;$COUNTRY$ is in shock, as a major European newspaper published a report today on the conditions in one of her colonies. Brutal mistreatment of natives, corporeal punishment and repeated instances of bodily mutilation have all been established means of maintaining the colonial order in the colony, in mines and on plantations, which have all been kept outside the influence of the Colonial Office through an elaborate system of bribes and corruption.;;$COUNTRY$ steht unter Schock, nachdem eine große europäische Zeitung heute von den Bedingungen in einer der Kolonien berichtete. Misshandlungen der Einwohner, Zuchtstrafen und Verstümmelungen wurden zur Kontrolle der Kolonie, auf Plantagen und in Minen eingesetzt. Bestechung und Korruption verhinderten das Eingreifen des Kolonialministeriums.;;;;;;;;;;;x;
EVTDESC14670_NEWS_MEDIUM;$COUNTRY$ is in shock, as a major European newspaper published a report today on the conditions in one of her colonies. Brutal mistreatment of natives, corporeal punishment and repeated instances of mutilation have all been established means of maintaining the colonial order.;;$COUNTRY$ steht unter Schock, nachdem eine große europäische Zeitung heute von den den Bedingungen in einer der Kolonien berichtete. Misshandlungen der Einwohner, Zuchtstrafen und Verstümmelungen wurden zur Kontrolle der Kolonie eingesetzt.;;;;;;;;;;;x;
EVTDESC14670_NEWS_SHORT;$COUNTRY$ is in shock, as a major European newspaper published a report today on the conditions in one of her colonies proving brutal mistreatment of natives.;;$COUNTRY$ steht unter Schock, nachdem eine große europäische Zeitung heute von den Bedingungen in einer der Kolonien berichtete und Misshandlungen nachwies.;;;;;;;;;;;;x
EVTDESC14740_NEWS_LONG;With the competition for colonies constantly increasing, as European nations scramble for Africa and the World, $COUNTRY$ has done well for itself. One $COUNTRY_ADJ$ colony has, in the past few years, become internationally recognized as the model of a well managed European colony, and the attention that this colony has garnered for $COUNTRY_ADJ$ colonial policy, in the parliaments and courts of Europe, is proving a wonderful boon for $COUNTRY_ADJ$ research and international prestige.;;Im kolonialen Wettstreit der europäischen Nationen in Afrika und der Welt steht $COUNTRY$ gut da. Eine $COUNTRY_ADJ$ Kolonie gilt in den letzten Jahren weltweit als Modell für eine gute Führung. Die weltweite Aufmerksamkeit für die $COUNTRY_ADJ$ Kolonialpolitik in den Parlamenten und bei den Hofstaaten Europas erweist sich als außerordentlich hilfreich in der $COUNTRY_ADJ$ Forschung und internationalen Anerkennung.;;;;;;;;;;;x;
