###############################;x
##### BASIC MODIFIER TEXT #####;x {
###############################;x
MODIFIER_ADDED;$WHERE$ gets §Y$WHAT$§! until §Y$DATE$§!, giving the following effects:\n$EFFECT$\n\n;x
TRIGMODLOST_HEADER;$MONARCHTITLE$ reports that;$;x
TRIGMOD_HEADER;$MONARCHTITLE$ reports that;;x
###############################;x }
##### TRIGGERED MODIFIERS #####;x {
###############################;x
no_infamy;No Infamy;x
############################;x }
##### CORING MODIFIERS #####;x {
############################;x
core_integration;Core Integration;x
cultural_core_integration;Cultural Core Integration;x
#########################;x }
##### RGO MODIFIERS #####;x {
#########################;x
repairing_mine;Repairing Mine;x
new_vein;New Ore Vein;x
high_production;High Production;x
large_road;Large Road;x
sacked_large_road;Ruined Large Road;x
major_road;Major Road;x
sacked_major_road;Ruined Major Road;x
great_road;Great Road;x
sacked_great_road;Ruined Large Road;x
orc_raids;Orc Raids;x
orc_raids_country;Orc Raids;x
orc_raids_country;This modifier is there to let you know orc raids are occuring somewhere in your realm.;x
rebuilt_city;Rebuilt City;x
dome_of_stars;Dome of Stars;x
stonewain_valley_modifier;Stonewain Valley;x
##############################;x
##### COLONIAL MODIFIERS #####;x {
##############################;x
colonial_push;Territorial Push;x
##############################;x }
##### ECONIMIC MODIFIERS #####;x {
##############################;x
local_economic_downturn;Local Economic Downturn;x
##########################################;x }
##### NATIONALIST UPRISING MODIFIERS #####;x {
##########################################;x
minority_building_restrictions;Minority Building Restrictions;;x
desc_minority_building_restrictions;Our country enforces policies that prevent minorities from constructing permanent buildings, even on land they own.;;x
dryzymalas_wagon;Dryzymala's Wagon;Le chariot de Drzyma?a;;x
dryzymalas_wagon_desc;Old man Dryzymala avoids the building ban by living in a wagon;;x
discriminatory_school_system;Discriminatory School System;;x
discriminatory_school_system_desc;Our school system discriminates against citizens who are not of our national culture.;;x
flying_university;Flying University;;x
flying_university_desc;An underground organisation provides higher education in a minority language;;x
patriot_uprising;Patriot Uprising;x
###################################;x }
##### CB GENERATION MODIFIERS #####;x {
###################################;x
CB_gen_plus;CB generation speed increased;x
CB_gen_plus_desc;Justifying wars can be done faster;x
##########################;x }
##### BANK MODIFIERS #####;x {
##########################;x
bank_cheats;Bank Cheats;x
no_points_for_you;No Points For You;x
no_points_for_you_desc;The World Bank, tag FOR, needs to be at the bottom of the list in terms of points. Otherwise, everyone below them is absolutely screwed.;x
##############################;x }
##### MILITARY MODIFIERS #####;x {
##############################;x
recruited_generals;Recently Recruited Generals;x
recruited_generals_desc;Recently we have recruited leaders from out nobility and outstanding officers. In order to allow the recruitment pool to swell in ranks again to a sizeable level, we ought to wait before recruiting any more generals.;x
recruited_admirals;Recently Recruited Admirals;x
recruited_admirals_desc;Recently we have recruited leaders from out nobility and outstanding officers. In order to allow the recruitment pool to swell in ranks again to a sizeable level, we ought to wait before recruiting any more admirals.;x
low_military_recruitment;Low Military Recruitment;x
low_military_recruitment_desc;The number of soldiers joining the realm's armed forces has waned in recent years. §RThis modifier lets you know that you have a country flag that limits soldier pops to 3% until it is removed§!;x
#####################################;x }
##### WAR OF THE RING MODIFIERS #####;x {
#####################################;x
one_ring;The One Ring;x
one_ring_desc;We are in possession of the One Ring. §RThis powerful artefact makes our pops more evil, and gives all other realms free cbs on us.§!;x
ring_hunters;Ring Hunters;x
ring_hunters_desc;We have sent a hunting party searching for the rumored One Ring near Hobbiton.;x
fellowship_member;Fellowship Member;x
fellowship_member_desc;A member of our realm is part of the Fellowship of the Ring!;x
remembered_sacrifice;Remembered Sacrifice;x
remembered_sacrifice_desc;Our member of the Fellowship of the Ring sacrified themselves in the Mines of Moria to save the Fellowship from certain doom. They single-handedly fought an unbeatable foe - a Balrog of Morgoth - to buy time for the rest to escape. §RThis modifier makes you pops slightly more good-aligned§!.;x
dont_peace_out;Don't Peace Out;x
dont_peace_out_desc;This prevents us from Utility Tag peacing out.;x
wotr_countdown;War of the Ring Countdown;x
wotr_countdown_desc;When this modifier disappears, the War of the Ring starts!;x
wotr_end_countdown;War of the Ring End Countdown;x
wotr_end_countdown_desc;When this modifier disappears, the War of the Ring will end!;x
##########################################;x }
##### DYNAMIC LEADER TRAIT MODIFIERS #####;x {
##########################################;x
kind;Kind;x
kind_desc;Our ruler has a kind personaility.;x
smart_modifier;Smart;x
smart_modifier_desc;Our ruler is smart.;x
of_noble_house;Of a Noble House;x
of_noble_house_desc;Our ruler was born into a noble house.;x
defensive_modifier;Defensive;x
defensive_modifier_desc;Our ruler is defensive-minded.;x
aggressive_modifier;Aggressive;x
aggressive_modifier_desc;Our ruler is offensive-minded.;x
strong;Strong;x
strong_desc;Our ruler is stubborn and usually gets his way.;x
honest;Honest;x
honest_desc;Our ruler is honest.;x
deceitful;Deceitful.;x
deceitful_desc;Our ruler tends to lie.;x
aristocrat_modifier;Aristocrat;x
aristocrat_modifier_desc;Our ruler tends to side with the nobles over the people.;x
of_the_people;Of the People;x
of_the_people_desc;Our ruler tends to side with the people over the nobles.;x
charlatan;Charlatan;x
charlatan_desc;Our ruler is not wise and many consider him a joke.;x
wise_ruler;Wise;x
wise_ruler_desc;Our ruler is wise and is taken seriously.;x
lazy;Lazy;x
lazy_desc;Our ruler is so lazy that they are unwilling to partake in a game of golf.;x
diligent;Diligent;x
diligent_desc;Our ruler is diligent in their duties.;x
greedy;Greedy;x
greedy_desc;Our ruler is greedy and always looking for more ways to make money.;x
generous;Generous;x
generous_desc;Our ruler is generous and likes to freely give away belongings to the people.;x
corrupt;Corrupt;x
