#####################;x }
##### CB EVENTS #####;x {
#####################;x
EVTDESC2500;Our ambassador to one of the other great powers has telegraphed home expressing his frustration with the response, or rather, lack of it, that he has received while trying to settle a bilateral extradition treaty with the realm in question. Apparently our ambassador has been snubbed repeatedly by this foreign administration, and has been delegated to speaking to civil servants instead of being allowed direct access to the realm's decision makers. This diplomatic back-and-forth has been going on for two months.;;;;;;;;;;x
EVTDESC2501;On this subject I would like to bring up the issue of a merchant, operating out of one of my constituencies, who wrote to me last month with a most distressing story of how trade goods of his had been seized by customs officials in a foreign port. Again, I can only reiterate that further tolerance of these abridgments of the unrestricted freedom of international trade will only serve to compound the problem further with every year that passes.'\n\nAn MP known for his ardent support of free trade has held a speech in parliament today, detailing grievances against a foreign power.;;;;;;;;;;x
EVTDESC2502;The $PROVINCENAME$ area has been under $COUNTRY_ADJ$ control for some time, and, now, after many years, it does seem that the citizens of this province themselves consider $COUNTRY_ADJ$ rule to be the only legitimate rule there is. This province is now a part of $COUNTRY$'s patrimony.;;;;;;;;;;x
EVTDESC2504;News reaches us from $FROMCOUNTRY$ that the local ruling elites have thrown our ambassador out of the realm, and that their troops are laying siege to our embassy with apparent intent to enforce that decision. This affair is developing into an enormous loss of international face, one which can only be avoided through a formal declaration of war against $FROMCOUNTRY$. Sire, how should we respond?;x
EVTDESC2506;According to our peace treaty with $FROMCOUNTRY$, we must give up lands that rightfully belong to them -- and only the ones that belong to them.;;;;;;;;;;;;;
EVTDESC2507;According to our peace treaty with $FROMCOUNTRY$, we must give up lands that rightfully belong to another nation -- but only those lands.;;;;;;;;;;;;;
EVTDESC2508;As a result of the treaty with $FROMCOUNTRY$, some of $COUNTRY$'s lands are to be returned. We are, however, only entitled to those lands over which we have a claim. Any others should, by all rights, be returned to $FROMCOUNTRY$. \n \n §RNOTE| If you took $FROMCOUNTRY_ADJ$ core provinces which are not also your own core provinces in this war, enacting the 'return' option will give those lands back. Be careful!§W;;;;;;;;;;;;;
EVTDESC2509;The past war has potentially shifted our alignment.;x
EVTDESC2510;We have been freed under the pretenses that we become a vassal of our liberators. Now comes the time that we submit.;x
EVTDESC2511;According to our peace treaty with $FROMCOUNTRY$, we must give up lands that rightfully belong to them -- and only the ones that belong to them.;x
EVTDESC2512;As a result of the treaty with $FROMCOUNTRY$, some of $COUNTRY$'s lands are to be returned. We are, however, only entitled to those lands over which we have a claim. Any others should, by all rights, be returned to $FROMCOUNTRY$. \n\n§RNOTE| If you took $FROMCOUNTRY_ADJ$ core provinces which are not also your own core provinces in this war, enacting the 'return' option will give those lands back. Be careful!§W;x
##########################;x }
##### REVOLTS EVENTS #####;x {
