############################;x
##### GOVERNMENT TYPES #####;x {
############################;x
democracy;Republic;x
democracy_ruler;Lord;x
hobbit_realm;Republic;x
hobbit_realm;Mayor;x
monarchy;Monarchy;x
monarchy_ruler;King;x
stewardship;Monarchy;x
stewardship_ruler;Steward;x
principality;Monarchy;x
principality_ruler;Prince;x
fiefdom;Fiefdom;x
fiefdom_ruler;Lord;x
galadhrim_monarchy;Dual Monarchy;x
galadhrim_monarchy_ruler;Lord and Lady;x
lord_monarchy;Monarchy;x
lord_monarchy_ruler;Lord;x
dark_realm;Dark Realm;x
dark_realm_ruler;Lord;x
sauron_dictatorship;Dark Realm;x
sauron_dictatorship_ruler;Dark Lord;x
nazgul_dictatorship;Dark Realm;x
nazgul_dictatorship_ruler;Lord;x
istari_kingdom;Wizard's Realm;x
istari_kingdom_ruler;Lord;x
goblin_tribe;Tribe;x
goblin_tribe_ruler;Chieftain;x
man_tribe;Chiefdom;x
man_tribe_ruler;Chief;x
#############################;x }
##### POLITICAL PARTIES #####;x {
#############################;x
generic_servants;Servants;x
generic_high_nobility;High Nobility;x
generic_low_nobility;Low Nobility;x
generic_burgher;Burgher;x
generic_loremaster;Loremaster;x
generic_fundamentalist;Fundamentalist;x
#####################;x }
##### COUNTRIES #####;x {
#####################;x
REB;Rebels;Rebelles;Partisanen;;Rebeldes;x
REB_ADJ;Rebel;Rebelle;Rebellisch;;Partisanos;x
ADR;Andrast;x
ADR_fiefdom;Fiefdom of Andrast;x
ADR_ADJ;Andrasthrim;x
ALG;Algraig;x
ALG_ADJ;Algraig;x
AMR;Principality of Dol Amroth;x
AMR_fiefdom;Fiefdom of Belfalas;x
AMR_ADJ;Amrothian;x
AMR_fiefdom_ADJ;Belfalathrim;x
ANF;Anfalas;x
ANF_fiefdom;Fiefdom of Anfalas;x
ANF_ADJ;Anfalathrim;x
ANO;Anórien;x
ANO_fiefdom;Fiefdom of Anórien;x
ANO_ADJ;Anórienrim;x
ARN;Kingdom of Arnor;x
ARN_democracy;Republic of Arnor;x
ARN_ADJ;Arnorian;x
ARY;Arysis;x
ARY_ADJ;Arysian;x
BAR;Barrow-wights;x
BAR_ADJ;Barrow-wight;x
BOM;Bombadil of the Old Forest;x
BOM_ADJ;Old Forestrean;x
BEO;Beornings of the Vale;x
BEO_ADJ;Beorning;x
BLU;Dwarves of Ered Luin;x
BLU_ADJ;Blue Dwarvish;x
BRE;Free Peoples of Bree;x
BRE_ADJ;Breelander;x
CAR;Kingdom of Cardolan;x
CAR_ADJ;Republic of Cardolan;x
CAR_ADJ;Cardolani;x
CHE;Chelkar;x
CHE_ADJ;Chelkiag;x
DAL;Kingdom of Dale;x
DAL_democracy;Republic of Dale;x
DAL_ADJ;Dalish;x
DND;Dúnedain of the North;x
DND_ADJ;Dúnedain;x
DOR;Kingdom of Dorwinion;x
DOR_democracy;Republic of Dorwinion;x
DOR_ADJ;Dorwinrim;x
DRA;Drúedain of Andrast;x
DRA_ADJ;Drúedain;x
DRH;Drúedain of Haerawreigion;x
DRH_ADJ;Drúedain;x
DRU;Drúedain of Drúedain Forest;x
DRU_ADJ;Drúedain;x
DUN;United Dunland;x
DUN_ADJ;Dunnish;x
DCA;Caru-Lûth;x
DCA_ADJ;Dunnish;x
DDR;Draig-Lûth;x
DDR_ADJ;Dunnish;x
DHE;Hebog-Lûth;x
DHE_ADJ;Dunnish;x
DTU;Turch-Lûth;x
DTU_ADJ;Dunnish;x
DUC;Uch-Lûth;x
DUC_ADJ;Dunnish;x
EAG;Eagles of the Eyrie;x
EAG_ADJ;Eagle;x
EGL;Eglain;x
EGL_ADJ;Eglain;x
EHW;Ehwathrumavuld;x
EHW_ADJ;Ehwathrim;x
ENE;Enedwaithrim;x
ENE_ADJ;Enedwaithrim;x;
